path,name,description,is_deprecated,deprecated_reason,file
"/","ホーム","",false,"","app/interface/routes/_main.index.tsx"
"/:project","プロジェクト詳細","",false,"","app/interface/routes/$project.index.tsx"
"/:project/profile","プロジェクトプロフィール","",false,"","app/interface/routes/$project.profile.tsx"
"/:project/settings","プロジェクト設定","",false,"","app/interface/routes/$project.settings.tsx"
"/my/account","アカウント","",false,"","app/interface/routes/_main.my.account.tsx"
"/my/organizations","所属組織一覧","",false,"","app/interface/routes/_main.my.organizations.tsx"
"/my/profile","プロフィール","",false,"","app/interface/routes/_main.my.profile.tsx"
"/my/projects","参加プロジェクト一覧","",false,"","app/interface/routes/_main.my.projects.tsx"
"/my/settings","設定","",false,"","app/interface/routes/_main.my.settings.tsx"
"/new","新規作成","",false,"","app/interface/routes/new.tsx"
"/orgs/:organization","組織詳細","",false,"","app/interface/routes/orgs.$organization.tsx"
"/orgs/:organization/members","組織メンバー一覧","",false,"","app/interface/routes/orgs.$organization.members.tsx"
"/orgs/:organization/projects","組織プロジェクト一覧","",false,"","app/interface/routes/orgs.$organization.projects.tsx"
"/orgs/:organization/projects/new","新規プロジェクト作成","",false,"","app/interface/routes/orgs.$organization.projects.new.tsx"
"/orgs/:organization/settings","組織設定","",false,"","app/interface/routes/orgs.$organization.settings.tsx"
"/orgs/new","新規組織作成","",false,"","app/interface/routes/_main.orgs.new.tsx"
"/password/restore","パスワード復旧","",false,"","app/interface/routes/password.restore.tsx"
"/projects/new","新規プロジェクト作成","",false,"","app/interface/routes/_main.projects.new.tsx"
